"filename", "language", "JSON", "JavaScript", "TypeScript", "JSON with Comments", "XML", "Markdown", "TypeScript JSX", "Prisma", "CSS", "comment", "blank", "total"
"c:\Users\Rei\Desktop\fitness-tracker\.eslintrc.json", "JSON with Comments", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Rei\Desktop\fitness-tracker\README.md", "Markdown", 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 15, 37
"c:\Users\Rei\Desktop\fitness-tracker\app\(auth)\login\form.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 75, 0, 0, 1, 6, 82
"c:\Users\Rei\Desktop\fitness-tracker\app\(auth)\login\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 2, 20
"c:\Users\Rei\Desktop\fitness-tracker\app\(auth)\register\form.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 88, 0, 0, 4, 6, 98
"c:\Users\Rei\Desktop\fitness-tracker\app\(auth)\register\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 2, 20
"c:\Users\Rei\Desktop\fitness-tracker\app\(home)\Activity.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 102, 0, 0, 14, 5, 121
"c:\Users\Rei\Desktop\fitness-tracker\app\(home)\AddMeal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 162, 0, 0, 10, 8, 180
"c:\Users\Rei\Desktop\fitness-tracker\app\(home)\CaloriesRadialChart.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 82, 0, 0, 11, 7, 100
"c:\Users\Rei\Desktop\fitness-tracker\app\(home)\DatePicker.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 44, 0, 0, 0, 4, 48
"c:\Users\Rei\Desktop\fitness-tracker\app\(home)\MainTiles.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 67, 0, 0, 1, 4, 72
"c:\Users\Rei\Desktop\fitness-tracker\app\(home)\MealTable.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 68, 0, 0, 6, 6, 80
"c:\Users\Rei\Desktop\fitness-tracker\app\(home)\SecondaryTiles.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 50, 0, 0, 3, 4, 57
"c:\Users\Rei\Desktop\fitness-tracker\app\(home)\TertiaryTiles.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 48, 0, 0, 2, 7, 57
"c:\Users\Rei\Desktop\fitness-tracker\app\(home)\UserBar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 49, 0, 0, 0, 8, 57
"c:\Users\Rei\Desktop\fitness-tracker\app\(home)\UserDetails.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 82, 0, 0, 2, 7, 91
"c:\Users\Rei\Desktop\fitness-tracker\app\(home)\WeightChart.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 104, 0, 0, 1, 5, 110
"c:\Users\Rei\Desktop\fitness-tracker\app\(shared)\BoxHeader.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 4, 18
"c:\Users\Rei\Desktop\fitness-tracker\app\(shared)\ChartBox.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 4, 14
"c:\Users\Rei\Desktop\fitness-tracker\app\(shared)\CustomTooltip.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 20, 0, 0, 2, 4, 26
"c:\Users\Rei\Desktop\fitness-tracker\app\(shared)\MacroBar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 4, 44
"c:\Users\Rei\Desktop\fitness-tracker\app\(shared)\MacroCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 46, 0, 0, 4, 6, 56
"c:\Users\Rei\Desktop\fitness-tracker\app\(shared)\MainCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 4, 31
"c:\Users\Rei\Desktop\fitness-tracker\app\(shared)\Navbar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 145, 0, 0, 1, 6, 152
"c:\Users\Rei\Desktop\fitness-tracker\app\(shared)\TableRow.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 33, 0, 0, 1, 4, 38
"c:\Users\Rei\Desktop\fitness-tracker\app\Context\store.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 75, 0, 0, 2, 8, 85
"c:\Users\Rei\Desktop\fitness-tracker\app\api\auth\[...nextauth]\route.ts", "TypeScript", 0, 0, 77, 0, 0, 0, 0, 0, 0, 0, 9, 86
"c:\Users\Rei\Desktop\fitness-tracker\app\api\hello\route.ts", "TypeScript", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Rei\Desktop\fitness-tracker\app\api\meals\[id]\route.ts", "TypeScript", 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 7, 42
"c:\Users\Rei\Desktop\fitness-tracker\app\api\meals\route.ts", "TypeScript", 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 6, 32
"c:\Users\Rei\Desktop\fitness-tracker\app\api\register\route.ts", "TypeScript", 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 6, 31
"c:\Users\Rei\Desktop\fitness-tracker\app\api\user\route.ts", "TypeScript", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 2, 16
"c:\Users\Rei\Desktop\fitness-tracker\app\globals.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 36, 43, 15, 94
"c:\Users\Rei\Desktop\fitness-tracker\app\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 4, 30
"c:\Users\Rei\Desktop\fitness-tracker\app\loading.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 3, 8
"c:\Users\Rei\Desktop\fitness-tracker\app\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 123, 0, 0, 1, 15, 139
"c:\Users\Rei\Desktop\fitness-tracker\app\profile\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 12, 0, 0, 1, 2, 15
"c:\Users\Rei\Desktop\fitness-tracker\app\providers.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 4, 12
"c:\Users\Rei\Desktop\fitness-tracker\app\types.ts", "TypeScript", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 3, 24
"c:\Users\Rei\Desktop\fitness-tracker\components\ui\alert\alert-dialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 136, 0, 0, 0, 15, 151
"c:\Users\Rei\Desktop\fitness-tracker\components\ui\alert\alert.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 53, 0, 0, 0, 7, 60
"c:\Users\Rei\Desktop\fitness-tracker\components\ui\avatar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 44, 0, 0, 0, 7, 51
"c:\Users\Rei\Desktop\fitness-tracker\components\ui\badge.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 6, 37
"c:\Users\Rei\Desktop\fitness-tracker\components\ui\button.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 51, 0, 0, 0, 6, 57
"c:\Users\Rei\Desktop\fitness-tracker\components\ui\calendar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 58, 0, 0, 0, 6, 64
"c:\Users\Rei\Desktop\fitness-tracker\components\ui\dialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 117, 0, 0, 1, 13, 131
"c:\Users\Rei\Desktop\fitness-tracker\components\ui\input.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 5, 26
"c:\Users\Rei\Desktop\fitness-tracker\components\ui\label.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 6, 27
